en,zh-Hans
Leads assignment,客户分配
Choose your file,选择文件
Browse,浏览
Upload,上传
Template,模板
Please select a waiver Term.,请选择一个豁免条款
signed,signed_schi
Credit Card,信用卡
Section 11,第11节
Section 12,第12节
Page ,页 
Policy owner,保单持有人
Adviser,顾问
Card holder,卡持有人
Life assured,被保险人
Policy owner/Company,保单持有人/公司
E-signature index,电子签名索引
The Financial Needs Analysis has been completed in separate form.,财务需求分析已在另外一张表格里完成
FINANCIAL NEEDS ANALYSIS ,财务需求分析 
I understand that the completion of the Financial Needs Analysis (FNA) is mandatory for each new life insurance policy. I hereby confirm that,本人明白，完成财务需求分析是每一份新的寿险保单的强制性要求。本人在此确认：
1. I have assisted the potential policyholder to complete an FNA in paper form and the potential policyholder and I have reviewed the content of the FNA and signed accordingly; or,1.我已协助潜在投保人完成了书面的财务需求分析，潜在投保人和我都已阅读了财务需求分析的内容，并在相应位置签名。
2. The potential policyholder has already completed a valid FNA within 1 year; or,2.潜在投保人已在1年内完成了有效的财务需求分析，或
3. The potential policyholder does not want to complete the FNA and has stated this in writing on the FNA paper form and signed immediately below the statement.,3.潜在投保人不愿完成财务需求分析，但已在书面财务需求分析表上做出申明并在申明下签字。
Name of Agent/Technical Representative,营业员/业务代表名称
Sales Code,营业员/业务代表号码
Name of Applicant,申请人姓名
Name of Proposed Insured,被保险人姓名
Policy  Number,保单号码：
Note: Please answer all questions in this form.  Do NOT sign on this form if any questions are unanswered and have not been crossed out.,注：请回答财务需求分析表格内的所有问题，如有任何未回答的问题未被删去，请不要在表格上签署。
I. APPLICANT’S PERSONAL PARTICULARS,申请人个人资料
No. of Children and Dependents,子女及受养人数目：
Disturbance of Vision,视觉障碍
TRUE,是
FALSE,否
Contact Phone no,联络电话
Your highest education level is,阁下的最高教育程度为：
University or above,大学或以上
Matriculated/Post secondary,预科或专科
Secondary school level,中学 
Primary school level or below,小学及以下
II. NEEDS ANALYSIS,需求分析
What are your objectives of buying our product? (Tick one or more),阁下选择本公司产品的目标为？ （可多选）
"Financial protection against adversities (e.g. death, accident, disability etc)",为应付不时之需的财务保障（例如：死亡，意外，伤残等）
"Preparation for health care needs (e.g. critical illness, hospitalization etc)",为医疗需要做准备（例如：危急病，住院等）
Providing regular income in the future (e.g. retirement income etc),为未来提供定期的收入（例如：退休收入等）
"Saving up for the future (e.g. child education, retirement etc)",为未来的需要储蓄（例如：小孩教育，退休等）
Investment,投资
Others (Please specify),其他（请详述：）
What type(s) of insurance products you are looking for to meet your objectives above? (Tick one or more),阁下考虑以哪种类型的保险产品迎合阁下上述的目标？ （可多选）
Pure insurance product (without any savings or investment element)(e.g. term insurance),纯保险产品（没有任何储蓄或投资成分）（例如：定期保险）
Insurance product with savings element (with savings but without investment element)(e.g. non-participating policy),有储蓄成分的保险产品（有储蓄但没有投资成分）（例如：非分红保单）
"Insurance product with investment element (Investment decisions and risks borne by insurer)(e.g. participating policy, universal life insurance)",有投资成分的保险产品（投资决定及风险由保险公司承担）（例如：分红保单，万用寿险）
Insurance product with investment element (Investment decisions and risks borne by policyholder)(e.g. Investment-Linked Assurance Schemes),有投资成分的保险产品（投资决定及风险由保单持有人承担）（例如：投资相连保险计划）
What is your target benefit / protection period for insurance policy and/or investment plan? (Tick one),阁下投购保单及/或投资计划的目标保障年限为多久？ （选择一项）
< 1 year,少于一年
1 to 5 years,一至五年
 6 to 10 years,六至十年
11 to 20 years,十一至二十年
> 20 years,超过二十年
Whole of life,终身
"Note: You must reply at least either 4(a) or (b).  If you do not wish to answer either one of them, please cross it out.","注：阁下必须回答4(a)或4(b),如阁下不回答其中一项，请将之删去。"
Your ability to pay premiums,阁下的缴付保费的负担能力：
What is your average monthly income from all sources in the past 2 years? (Can select to answer either i. or ii .),在过去的两年里，阁下由所有收入来源所得的每月平均收入为？（可以选择回答i或ii）
i. Specific amount,具体金额
ii. In the following range,在以下范围
Not less than per month,每月不少于人民币CNY¥ 
"less than BWP10,000","少于人民币CNY¥10,000 "
"BWP10,000 - BWP19,999","人民币CNY¥10,000 - 人民币CNY¥19,999"
"BWP20,000 - BWP49,999","人民币CNY¥20,000 - 人民币CNY¥49,999"
"BWP50,000 - BWP100,000","人民币CNY¥50,000 - 人民币CNY¥100,000"
"over BWP100,000","多于人民币CNY¥100,000"
What is your approximate current accumulative amount of liquid assets? Please specify type(s) and total amount: (Tick one or more),阁下现时累积的流动资金约多少？请注明种类及金额：（可多选）
Type,类型
Cash,现金
Money in bank account,银行存款
Money market accounts,货币市场账户
Actively traded stocks,交易活跃的股票
Bonds and mutual funds,债券和互惠基金
US Treasury bills,美国国库债券
Amount: USD,金额：人民币CNY¥
"Note: Liquid assets are assets which may be easily turned into cash.  Real estate, coin collection and artwork are not considered to be liquid assets.",注：流动资产是指可以容易变为现金的资产。物业、钱币收藏及艺术品均不被视为流动资产。
"If you choose not to disclose income/asset information under 4(a) or (b) above, you must indicate your reason(s) in your own handwriting in the box below.  Please note that we (the insurance company) will reject your application if you choose not to respond to both 4(a) and (b) above. ",如阁下选择不在上述4(a)或(b)透露阁下的收入/资产资料，阁下必须在下栏内详述有关原因。如阁下选择同时不回应上述4(a)及(b)，本公司将拒绝阁下的申请。
"Note: You must reply 4(d), (e), (f) and (g) below.  Do not leave any of these questions blank.  We will reject your application if you do not reply.","注：阁下必须回答4(d)、(e) 、(f) 及(g),请不要留空任何一条问题，如阁下不回答，本公司 将拒绝阁下的申请。"
For how long are you able and willing to contribute to an insurance policy and/or investment plan?  (Tick one),阁下能够及愿意支付保单及/或投资计划的年限时长为？ （选择一项）
What is your monthly disposable income? ,阁下个人每月可动用收入为？
Amount: USD,金额：每月人民币CNY¥
Approximately what percentage of your disposable income would you be able to use to pay your monthly premium for the entire term of the insurance policy/investment plan in 4(d) above? (Can select to answer either i. or ii .),就阁下在4 (d)所选择的保单/投资计划之争端公款年期内，阁下每月可承担的保费占阁下个人可动用收入的比率为？ （可以选择接回答i.或ii）
i. Specific percentage,具体比率
